,text
759,"Authors here did an inventory about COVID-19 infections, vaccination status and anxiety using an online questionnai… https://t.co/zTbHMijolV"
760,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
761,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
762,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
763,"RT : This article perfectly highlights the impossible obstacles LongCovid patients face. A nurse tried to renew her disability,…"
764,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/ljvYiFVkCI
765,Is the Las Vegas residency being delayed really about production problems and the toll of Covid-19? Or her anxiety… https://t.co/S1IHMdyyXT
766,"RT : Needles can be scary for many of us, and with most children now eligible for their COVID-19 vaccine, parents may be unsur…"
767,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/GHJQxmZq8U
768,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/FDV…"
769,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
770,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
771,"'COVID-19 fatigue' could lead to low moods, more anxiety and public health measures being ignored: B.C. researcher https://t.co/CqpYLoDrDA"
772,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
773,"2 years of COVID-19: Here’s why that social anxiety you’re feeling is normal
 https://t.co/c4E4ElmOZl"
774,"RT : With the likely return to onsite learning for many Australian students, the phrase “back to school” may provoke feelings of anx…"
775,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
776,"RT : COVID-19 and its impacts are still disrupting the daily lives of Diné in several ways.

https://t.co/JIUuUpVGaG"
777,"YOUR COVID-19 QUESTIONS ANSWERED | How can I reduce my anxiety around the Covid-19 pandemic?

https://t.co/PZAHmxazbX"
778,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/I5dG0pdagh
779,"With the likely return to onsite learning for many Australian students, the phrase “back to school” may provoke fee… https://t.co/0nUYUBvPkC"
780,"Covid-19 kills people.
Anxiety kills more people."
781,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/Frn8dOtBkP
782,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
783,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
784,"RT : E-Counseling Series - 161 

Webinar on: ""Helping Adolescent with Anxiety during COVID-19 Wave- III""

Date: Friday,The 21st, Jan…"
785,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
786,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
787,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
788,"RT : COVID-19 and its impacts are still disrupting the daily lives of Diné in several ways.

https://t.co/JIUuUpVGaG"
789,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
790,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/FDV…"
791,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
792,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
793,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
794,"COVID-19 and its impacts are still disrupting the daily lives of Diné in several ways.

https://t.co/JIUuUpVGaG"
795,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
796,RT :  My husband had surgery last year at Stanford. They had a texting service with updates and it was such an anxiet…
797,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
798,"E-Counseling Series - 161 

Webinar on: ""Helping Adolescent with Anxiety during COVID-19 Wave- III""

Date: Friday,T… https://t.co/LB9brs4voT"
799,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
800,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
801,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
802,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
803,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
804,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
805,My colleague Shawna Lee is featured in this article. Having kids at home may ease adults’ COVID depression… https://t.co/8dkMFEX0K6
806,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
807,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
808,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
809,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
810,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
811,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
812,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
813,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
814,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
815,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/2MVdOcag2U
816,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/4eAGMSm1hU"
817,"Dr. Justin Ross, a licensed clinical psychologist and director of workplace well-being at UCHealth, said feeling po… https://t.co/GtN3AJKLtj"
818,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
819,RT :  My husband had surgery last year at Stanford. They had a texting service with updates and it was such an anxiet…
820,"While the pandemic might not be over, many people are trying to transition back into their so-called ""normal way of… https://t.co/GhfEAqR0p2"
821,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
822,COTA SA has expressed serious concerns to SA Health and the Premier about the management of COVID-19 outbreaks in o… https://t.co/jpDKt1ttqU
823,RT :         …
824,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
825,   Look into Pzifer- they are making a widely available post covid-19 mRNA vaccin… https://t.co/c3B6jVuE3P
826,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
827,       … https://t.co/VfdmOrrEL5
828,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
829,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
830,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/X3wFVEhzjq
831,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
832,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/4eAGMSm1hU"
833,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
834,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
835,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
836,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
837,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
838,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
839,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
840,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
841,GPs report 'massive' spike in patients struggling with COVID-19 anxiety https://t.co/RCaQRukiKa
842,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
843,"RT : 1/2 
ONS revealing that the no of actual deaths FROM Covid over 19 months was only 17k and not the 150k+ the media screech,…"
844,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
845,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
846,"RT : It's okay if you're experiencing emotional distress surrounding #COVID_19. 

Use and share these tips to help reduce stress…"
847,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
848,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/ccsK2VLL2v
849,"RT : 1/2 
ONS revealing that the no of actual deaths FROM Covid over 19 months was only 17k and not the 150k+ the media screech,…"
850,RT : The COVID-19 pandemic has been impacting our lives for nearly two years — from lockdowns to quarantines and isolation to miss…
851,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
852,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
853,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
854,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
855,The COVID-19 pandemic has been impacting our lives for nearly two years — from lockdowns to quarantines and isolati… https://t.co/UJ81bhoQ2u
856,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
857,a bad outcome should he contract COVID-19. I was terrified that I was sick and spreading to husband.  It was just a… https://t.co/jxb4PxIQlQ
858,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
859,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
860,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
861,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
862,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
863,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
864,I started seeing a therapist thinking I had Covid-19 related anxieties. I've come to realize I have other issues I'… https://t.co/Pv3QbrxCbX
865,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
866,"The prevalence of depression, anxiety, stress, and related factors among COVID-19 patients in Kurdistan Province, I… https://t.co/4TbBftjkqX"
867,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
868,"The prevalence of depression, anxiety, stress, and related factors among COVID-19 patients in #Kurdistan Province,… https://t.co/zjfxIknXkP"
869,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
870,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
871,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
872,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
873,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
874,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
875,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
876,"Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/fE5lvDIHh6 via "
877,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
878,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSb…"
879,"Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/4eAGMSm1hU"
880,"Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/sW4CSbtO5v"
881,"RT : Needles can be scary for many of us, and with most children now eligible for their COVID-19 vaccine, parents may be unsur…"
882,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/YpHaVJiR3r
883,RT : Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder #mentalhealthawareness #mentalhealthmatters…
884,RT : Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder #mentalhealthawareness #mentalhealthmatters…
885,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/FDV…"
886,"RT : The most common #COVID19 symptoms right now are dizziness, fatigue, brain fog, sleep distribution, anxiety and loss of t…"
887,Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder #mentalhealthawareness… https://t.co/NmENdR1xiA
888,"COVID-19 waves leading to fatigue, low moods, more anxiety: UBC researcher | CTV News https://t.co/j4DKOG3W5j"
889,"As you start attending more events and doing more things in person, it could leave you feeling anxious.
https://t.co/djYszfhnV0"
890,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/8ol4GA9c8r
891,RT : 2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/aNzHJL6WTL
892,RT : 2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/aNzHJL6WTL
893,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/aNzHJL6WTL
894,RT : GETTING THROUGH ANXIETY: Tips on dealing with the anxiety that comes from the conflicting desires to stay safe and to get bac…
895,RT : GETTING THROUGH ANXIETY: Tips on dealing with the anxiety that comes from the conflicting desires to stay safe and to get bac…
896,RT : GETTING THROUGH ANXIETY: Tips on dealing with the anxiety that comes from the conflicting desires to stay safe and to get bac…
897,RT : GETTING THROUGH ANXIETY: Tips on dealing with the anxiety that comes from the conflicting desires to stay safe and to get bac…
898,"RT : Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/FDV…"
899,"2 years of COVID-19: Here's why that social anxiety you're feeling is normal
https://t.co/fcCJNfjn23"
900,GETTING THROUGH ANXIETY: Tips on dealing with the anxiety that comes from the conflicting desires to stay safe and… https://t.co/5KyI1gxqcj
901,"RT : For many teenagers and adults, the uncertainty surrounding COVID-19 is the hardest thing to handle. Please join  for…"
902,"Covid vaccination reduced symptoms of depression by 27% and anxiety by 28%, according to new research https://t.co/FDVnZJicwM"
903,"While the pandemic might not be over, many people are trying to transition back into their so-called ""normal way of… https://t.co/XBHC9jD4nr"
904,"RT : For many teenagers and adults, the uncertainty surrounding COVID-19 is the hardest thing to handle. Please join  for…"
905,"2 years of COVID-19: Here's why that social anxiety you're feeling is normal
https://t.co/JOFxSjY5zH"
906,"RT : Needles can be scary for many of us, and with most children now eligible for their COVID-19 vaccine, parents may be unsur…"
907,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
908,"I'm not tired of staying home and keeping myself safe.  I'm tired of other people not doing it, which keeps me (and… https://t.co/KXxc157Es2"
909,"1/2 
ONS revealing that the no of actual deaths FROM Covid over 19 months was only 17k and not the 150k+ the media… https://t.co/BxWic1Yr29"
910,"The COVID-19 pandemic has wreaked unquantifiable amounts of suffering, trauma, and anxiety on all people, and Reedi… https://t.co/X78YtKEg7s"
911,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/1AseyGYwWH
912,"2 years of COVID-19: Here’s why that social anxiety you’re feeling is normal

https://t.co/ORtM8f2moM"
913,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
914,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
915,"RT : Exciting to see study w/ , Jon Cantor, and Neeraj Sood on vaccines and mental health outcomes featured in the…"
916,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/v2QAeSmClO https://t.co/PPcrGu7orW
917,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/wUcyoPtlHv
918,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
919,"Exciting to see study w/ , Jon Cantor, and Neeraj Sood on vaccines and mental health outcomes feature… https://t.co/T6TFVTWH6w"
920,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
921,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/zbMlshzzBl
922,"RT : The most common #COVID19 symptoms right now are dizziness, fatigue, brain fog, sleep distribution, anxiety and loss of t…"
923,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
924,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
925,"RT : With most of B.C.'s COVID-19 restrictions renewed for several more weeks, some might be feeling especially exhausted by t…"
926,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
927,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
928,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/cFkJeCWh6A
929,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
930,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
931,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
932,"If you've been feeling a bit of social anxiety, according to this doctor, it's normal.
https://t.co/ZvyrzYDvh8"
933,Coronavirus: The COVID-19 pandemic has been impacting our lives for nearly two years — from lockdowns to quarantine… https://t.co/fxue9JpCFs
934,  In some cases the symptoms resemble a hangover (experienced the day after having some dri… https://t.co/kWSy7BWRGA
935,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
936,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
937,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
938,"The most common #COVID19 symptoms right now are dizziness, fatigue, brain fog, sleep distribution, anxiety and loss… https://t.co/x7pucO9ltB"
939,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
940,"The long-term health consequences of COVID-19: fatigue or muscle weakness, sleep difficulties, anxiety or depressio… https://t.co/HE0RmRewF5"
941,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
942,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
943,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
944,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
945,RT : Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
946,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/hBIOkrud5J
947,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/EIpJ3QsZrl
948,How to manage Seasonal Affective Disorder and COVID-19 anxiety https://t.co/dsnWKYhdo6 (Sponsored by )
949,"Based on research, one in five #physicians expressed they are likely to leave their practice within two years due t… https://t.co/aNAZgFcF1f"
950,RT : ✱ Pandemic Anxiety Is Fueling OCD Symptoms?Even for People Without the Disorder #time #BreakingNews #PleaseRetweet ➯➯➯ https:…
951,"RT : 'live with it' is causing our #MentalHealth deterioration, .   

It's mind boggling how virtually no one will chal…"
952,"'live with it' is causing our #MentalHealth deterioration, .   

It's mind boggling how virtually no one will c… https://t.co/V0GUKGlhw6"
953,Pandemic anxiety is fueling OCD symptoms—even for people without the disorder https://t.co/YpHaVJiR3r
954,"Youth with ADHD were more likely than their peers to experience COVID-19 symptoms, sleep problems, fear and anxiety… https://t.co/q1fBprkfsV"
955,"It’s never too late to start. At least that’s what I’m working with.

Because as luck would have it (and perfect su… https://t.co/HkNl9fjQW6"
956,"With most of B.C.'s COVID-19 restrictions renewed for several more weeks, some might be feeling especially exhauste… https://t.co/qZsRzwkErC"
957,"The COVID-19 pandemic has been impacting our lives for nearly two years, and many people are trying to transition b… https://t.co/M5th7rmJyZ"
958,"  You know what looks even more realistic than VRchat?

Rchat! It's the next big thing!

(Rchat… https://t.co/pjEQvMqo4L"
959,✱ Pandemic Anxiety Is Fueling OCD Symptoms?Even for People Without the Disorder #time #BreakingNews #PleaseRetweet… https://t.co/eQNbAGQj90
960,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/E116mg4RlX
961,"  There's far more evidence that people are simply calling anxiety attacks and COVID-19 ""Hav… https://t.co/hPO3TyCk5p"
962,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/Q79Drdkcab
963,2 years of COVID-19: Here’s why that social anxiety you’re feeling is normal https://t.co/Wc5PNtqT5r
964,Diseases from diabetes to HIV to depression to anxiety to COVID-19 all have links to racism and oppression. Are those not diseases??
965,"2/7  COZY W THE ILLUMINAT_ SMITH FAMILY
Ramani good FRIENDS w #WillSmith, #JadaPinkettSmith &amp; their children
Collab… https://t.co/PQyRNfdCnE"
966,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
967,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/Mnuozgy75u https://t.co/50ZHt66XI7
968, At this stage of the pandemic  more people are dying WITH Covid-19 (90+%) rather than FROM Covid-19… https://t.co/4D70ahBIjT
969,✓ Pandemic Anxiety Is Fueling OCD Symptoms?Even for People Without the Disorder #BreakingNews #time #RT ►►►… https://t.co/ONLyWr4HsV
970,"I couldn’t be less happy about the return to on-site working.

From the increased exposure to COVID-19 (in an immun… https://t.co/OIMDc0I5Ce"
971,Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder https://t.co/YXOlpcSdUV https://t.co/vZvXFrKpDT
972,2 years of COVID-19: Here's why that social anxiety you're feeling is normal https://t.co/lESWROh4TY
973,"For many teenagers and adults, the uncertainty surrounding COVID-19 is the hardest thing to handle. Please join… https://t.co/Fk2p7xQwrK"
974,"Thought exercise,  no.

Pre COVID-19, I might have said yes. But I think everyone got a small taste of a little iso… https://t.co/tJ2L8hJyKT"
975,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
976,"Op-ed : few are acknowledging the impact of COVID-19 restrictions on kids, who have been thrown under the bu… https://t.co/f4bzoQQtIq"
977,"RT : Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder
https://t.co/9kT3Q107kp"
978,"Pandemic Anxiety Is Fueling OCD Symptoms—Even for People
Without the Disorder   https://t.co/dOUySaEFyQ    #News"
979,RT : A Student Needs Assessment by the Ohio School Wellness Initiative and 's Discovery Center found K-12 schoo…
980,"2. Right now, getting respite care or having someone from outside the house come in for help is a non-starter becau… https://t.co/SElWYJFkkI"
981,RT : Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
982,"RT : You might be an outgoing person, but social anxiety is actually pretty normal for anyone to experience. Here's why. https://…"
983,"You might be an outgoing person, but social anxiety is actually pretty normal for anyone to experience. Here's why. https://t.co/nXricv09Am"
984,2 years of COVID-19: Here’s why that social anxiety you’re feeling is normal https://t.co/xqiWv2g90k
985,2 years of COVID-19: Here’s why that social anxiety you’re feeling is normal https://t.co/WQnXtYKWVB
986,"RT : Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder
https://t.co/9kT3Q107kp"
987,2 years of COVID-19: Here’s why that social anxiety you’re feeling is normal https://t.co/MR4Xw3z1Ht
988,"The COVID-19 pandemic has been impacting our lives for more than two years. From lockdowns, to quarantines and isol… https://t.co/vnSWBp943j"
989,Ways to keep anxiety and sadness from creeping in while you recover from COVID-19: https://t.co/xzL0kmDWLL
990,"hi i just launched my nft with the name shackle act1, the reason i made my nft name is because this year we are sti… https://t.co/0bJxsxDG9u"
991,"DYK amid the COVID-19 pandemic, approximately 4 in 10 adults throughout the U.S. have reported symptoms of anxiety… https://t.co/b1eaZ84frC"
992,"It’s a #covid #panfluencer

#covid_19 #work #socialmedia #socialmediamarketing #mask #icecream #thursday #anxiety… https://t.co/e1KmWJn0xP"
993,"Pandemic Anxiety Is Fueling OCD Symptoms—Even for People Without the Disorder
https://t.co/9kT3Q107kp"
994," been 19 for a week now, ive never had a job, i have anxiety and i feel like ive missed out on much of my… https://t.co/PFa1gYq6zj"
995,"IJERPH, Vol. 19, Pages 1154: Prevalence of Depression and Anxiety in Nurses during the First Eleven Months of the C… https://t.co/1nqlPWgLDW"
996,"https://t.co/KvWjrI8Dav During the Covid-19 pandemic, migrant workers faced further anxiety &amp; stigma. SEI Asia rese… https://t.co/dRpXuil7wH"
997,"RT : Due to Covid-19, People are not Okay.
If you are a manager or supervisor of people, please remember that everyone is dealin…"
998,RT :  My husband had surgery last year at Stanford. They had a texting service with updates and it was such an anxiet…
999," Pathetic.

You're so full of it, it's not even funny. You are literally doing the opposite of what you… https://t.co/4OKwUBXux4"
1000, My husband had surgery last year at Stanford. They had a texting service with updates and it was such… https://t.co/DIvI1x2FgY
1001,"Michael Dadson, Langley Clinical Counsellor, Cites U.N. Report Linking Youth Depression, Anxiety to COVID-19.… https://t.co/vXA5It9go0"
1002,"RT : COVID-19 vaccines provided by the City+County of L.A. are FREE &amp; do NOT require the use of a social security number.

Scamme…"
1003,"Tonight at 7:00 p.m. I will be talking to  of 
on hellping teenagers and adolescents… https://t.co/zOwHQRGFt7"
1004,"Anxiety about rising cases of the omicron Covid-19 variant might be affecting your ability to concentrate, expert s… https://t.co/NtqjSQQKEh"
1005,"Effects Of The COVID-19 Pandemic

Surveys show a major increase in the number of U.S. adults who report symptoms of… https://t.co/BcP031QoWg"
1006,RT : Jemima Atar is a great author! Proud to host her (honest and refreshing) writing at  https://t.co/xoJk…
1007,"RT : 2/3
MOST COMMON PEDIATRIC COMORBIDITIES FOR COVID-19
1.  asthma (10.2%)
2. neurodevelopmental disorders (3.9%)
3. anxiety/f…"
1008,"RT : On June 2, #WeWontForget the anxiety and uncertainty that Ford’s Conservative government has repeatedly caused by mishandling…"
1009,"RT : ""School closures and social lockdown during the first COVID-19 wave were associated with adverse mental health symptom…"
1010,"RT : #ICYMI : ""A lot of people, including myself, have anxiety about getting sick again,"" said Mike who told  he got #Covid…"
1011,"#ICYMI : ""A lot of people, including myself, have anxiety about getting sick again,"" said Mike who told  he got… https://t.co/XxC7WhKCu5"
1012,How Hypnotherapy Can Help With COVID-19 Anxiety https://t.co/IULlHWHuKN
1013,"RT : Depression rise at Christmas linked to stress over Covid-19 :
https://t.co/c4eMcVhCZi #mentalhealth #wellbeing #stress #a…"
